Country,Longitude,Latitude,Group,Order,Count
Afghanistan,73.60468292,37.44604492,2,399,1
Afghanistan,73.63261414,37.43720627,2,400,1
Afghanistan,73.65712738,37.43046951,2,401,1
Afghanistan,73.72061157,37.41875076,2,402,1
Afghanistan,73.73378754,37.37578201,2,403,1
Afghanistan,73.71728516,37.32944107,2,404,1
Afghanistan,73.6488266,37.29121017,2,405,1
Afghanistan,73.62754059,37.26156998,2,406,1
Afghanistan,73.65351868,37.23935699,2,407,1
Afghanistan,73.7496109,37.23178864,2,408,1
Afghanistan,73.94882202,37.28315353,2,409,1
Afghanistan,74.07772827,37.3162117,2,410,1
Afghanistan,74.16709137,37.32944107,2,411,1
Afghanistan,74.2035141,37.37245941,2,412,1
Afghanistan,74.25966644,37.41543198,2,413,1
Afghanistan,74.34902191,37.41875076,2,414,1
Afghanistan,74.4449234,37.39560699,2,415,1
Afghanistan,74.52422333,37.38237381,2,416,1
Afghanistan,74.65937805,37.39448166,2,417,1
Afghanistan,74.73056793,37.35702896,2,418,1
Afghanistan,74.83046722,37.28593826,2,419,1
Afghanistan,74.8753891,37.24199295,2,420,1
Afghanistan,74.89131165,37.23163986,2,421,1
Finland,20.61132813,60.04067612,7,889,2
Finland,20.60341835,60.01694107,7,890,2
Finland,20.5217762,60.01166916,7,891,2
Finland,20.48750114,60.03276443,7,892,2
Finland,20.41123199,60.03012848,7,893,2
Finland,20.39794922,60.04067612,7,894,2
Finland,20.42959023,60.06171799,7,895,2
Finland,20.4901371,60.07490158,7,896,2
Finland,20.56913948,60.06962967,7,897,2
Finland,20.61132813,60.04067612,7,898,2
Finland,19.66230392,60.18715668,8,900,2
Finland,19.66748047,60.16474533,8,901,2
Finland,19.62919807,60.17036057,8,902,2
Finland,19.59980583,60.16269684,8,903,2
Finland,19.57988358,60.13506317,8,904,2
Finland,19.53652382,60.14497375,8,905,2
Finland,19.51904297,60.1845665,8,906,2
Finland,19.55136681,60.24384689,8,907,2
Finland,19.62880898,60.24609375,8,908,2
Finland,19.66230392,60.18715668,8,909,2
Finland,19.98955154,60.35116959,9,911,2
Finland,20.02021599,60.35087585,9,912,2
Finland,20.03388786,60.35932541,9,913,2
Finland,20.08740234,60.35341644,9,914,2
Finland,20.16786957,60.31469727,9,915,2
Finland,20.18408203,60.29374695,9,916,2
Finland,20.23955154,60.28301239,9,917,2
Finland,20.25888824,60.26127625,9,918,2
Finland,20.19472694,60.19355392,9,919,2
Finland,20.15507698,60.19228363,9,920,2
Finland,20.12548828,60.20087814,9,921,2
Finland,20.07324219,60.19345856,9,922,2
Finland,20.04257965,60.18066788,9,923,2
Finland,20.03232384,60.15249252,9,924,2
Finland,20.03398514,60.09355545,9,925,2
Finland,19.79980469,60.08173752,9,926,2
Finland,19.74599648,60.09897232,9,927,2
Finland,19.67226601,60.23300552,9,928,2
Finland,19.68691444,60.26762772,9,929,2
Finland,19.73652267,60.28237534,9,930,2
Finland,19.77900314,60.28554535,9,931,2
Finland,19.78525352,60.21337509,9,932,2
Finland,19.84765625,60.22055435,9,933,2
Finland,19.86718559,60.26811218,9,934,2
Finland,19.87158203,60.30160904,9,935,2
Finland,19.85468674,60.31850815,9,936,2
Finland,19.81230354,60.33159256,9,937,2
Finland,19.78779221,60.35404968,9,938,2
Finland,19.82304573,60.3901825,9,939,2
Finland,19.88828087,60.40581131,9,940,2
Finland,19.94453239,60.35752106,9,941,2
Finland,19.98955154,60.35116959,9,942,2
United Arab Emirates,53.92783356,24.17719841,11,964,19
United Arab Emirates,53.92812347,24.14336014,11,965,19
United Arab Emirates,53.82636642,24.15312576,11,966,19
United Arab Emirates,53.79912186,24.13554764,11,967,19
United Arab Emirates,53.71582031,24.14531326,11,968,19
United Arab Emirates,53.63447189,24.16977501,11,969,19
United Arab Emirates,53.68964767,24.21079063,11,970,19
United Arab Emirates,53.83378983,24.25893402,11,971,19
United Arab Emirates,53.89374924,24.21513557,11,972,19
United Arab Emirates,53.92783356,24.17719841,11,973,19
United Arab Emirates,52.61689377,24.28857422,12,975,19
United Arab Emirates,52.60000229,24.28129768,12,976,19
United Arab Emirates,52.5822258,24.33525276,12,977,19
United Arab Emirates,52.58359528,24.35234451,12,978,19
United Arab Emirates,52.62939453,24.37675667,12,979,19
United Arab Emirates,52.65761566,24.33261681,12,980,19
United Arab Emirates,52.61689377,24.28857422,12,981,19
United Arab Emirates,53.3322258,24.25859261,13,983,19
United Arab Emirates,53.25830078,24.25292969,13,984,19
United Arab Emirates,53.19091797,24.29091835,13,985,19
United Arab Emirates,53.33251953,24.34160042,13,986,19
United Arab Emirates,53.37089539,24.36445236,13,987,19
United Arab Emirates,53.41240311,24.41103554,13,988,19
United Arab Emirates,53.4453125,24.37119102,13,989,19
United Arab Emirates,53.40898514,24.30791092,13,990,19
United Arab Emirates,53.38261795,24.28085899,13,991,19
United Arab Emirates,53.3322258,24.25859261,13,992,19
United Arab Emirates,54.46543121,24.44277191,14,994,19
