Actor,Partner,Count
Al Pacino,Oliver 'Ole' Zemen,1
Al Pacino,Ray Liotta,1
Al Pacino,Rene Russo,1
Al Pacino,Robert De Niro,1
Al Pacino,Winona Ryder,1
Alain Chabat,Aziz Ansari,1
Alain Chabat,Christopher Campbell,1
Alain Chabat,Joy Behar,1
Alain Prost,Ayrton Senna,1
Alain Prost,Frank Williams,1
Alain Prost,Ron Dennis,1
Alakina Mann,Christopher Eccleston,1
Alakina Mann,Fionnula Flanagan,1
Alakina Mann,Nicole Kidman,1
Alan Alda,Ben Stiller,1
Alan Alda,Casey Affleck,1
Alan Alda,Eddie Murphy,1
Alan Alda,Helen Hunt,1
Alan Alda,Jennifer Aniston,1
Alan Alda,Justin Theroux,1
Alan Alda,Marisa Tomei,1
Alan Alda,Mel Gibson,1
Alan Alda,Paul Rudd,1
Alan Arkin,Abigail Breslin,1
Alan Arkin,Al Pacino,1
Alan Arkin,Amy Adams,1
Alan Arkin,Anne Hathaway,1
Alan Arkin,Ben Affleck,1
Alan Arkin,Bryan Cranston,1
Alan Arkin,Christopher Walken,1
Alan Arkin,Dwayne Johnson,1
Alan Arkin,Emily Blunt,1
Alan Arkin,Greg Kinnear,1
Alan Arkin,Jake Gyllenhaal,1
Alan Arkin,Jason Spevack,1
Alan Arkin,John Goodman,1
Alan Arkin,Julianna Margulies,1
Alan Arkin,Meryl Streep,1
Alan Arkin,Paul Dano,1
Alan Arkin,Reese Witherspoon,1
Alan Arkin,Steve Carell,1
Alan Cumming,Elijah Kelley,1
Alan Cumming,Evan Rachel Wood,1
Alan Cumming,Frances Fisher,1
Alan Cumming,Garret Dillahunt,1
Alan Cumming,Isaac Leyva,1
Alan Cumming,Jamie Kennedy,1
Alan Cumming,Jennifer Jason Leigh,1
Alan Cumming,Liam Falconer,1
Alan Cumming,Meredith Anne Bull,1
Alan Cumming,Otis,1
Alan Cumming,Ryan Falconer,1
Alan Cumming,Steven Freedman,1
Alan David,Bin Li,1
Alan David,Bin Wu,1
Alan David,Catherine An,1
Alan Howard,Noel Appleby,1
Alan Howard,Sala Baker,1
Alan Howard,Sean Astin,1
Alan King,Alex Lewis,1
Alan King,Clifton James,1
Alan King,Cullen Douglas,1
Alan Powell,Ali Faulkner,1
Alan Powell,Caitlin Nicol-Thomas,1
